job_position_name,predicted_score
Mechanical Engineer,1.023167716769987
Senior Software Engineer,1.0018208397251878
Senior Software Engineer,0.9790332159644488
Management Trainee - Mechanical,0.966644896466136
Data Engineer,0.9570180694069739
Data Engineer,0.952696486301845
Executive/ Sr. Executive -IT,0.9484895537633921
Senior Software Engineer,0.942585122982381
Management Trainee - Mechanical,0.9400889158420946
Mechanical Engineer,0.9373545968786002
Project Coordinator (Civil),0.9278145019980333
Mechanical Engineer,0.927679089254047
Civil Engineer,0.9241768776521521
Senior Software Engineer,0.9240641822479766
Management Trainee - Mechanical,0.9211904153593287
HR Officer,0.9199477773487847
Executive/ Sr. Executive -IT,0.9015107090640424
Mechanical Designer,0.8993446405785189
Site Engineer,0.8988966272941721
Senior Software Engineer,0.8978308427484925
Executive - VAT,0.8948580020298739
Executive/ Sr. Executive -IT,0.8891928878272022
Executive/ Sr. Executive -IT,0.8866919442205339
Mechanical Designer,0.8857376617917834
Executive/ Sr. Executive -IT,0.8825849238296815
HR Officer,0.8799999999999988
Machine Learning (ML) Engineer,0.8786021236245698
Data Engineer,0.8776322929351816
Machine Learning (ML) Engineer,0.8771578936529614
Data Engineer,0.8757328872436945
Machine Learning (ML) Engineer,0.8754348718985023
Data Engineer,0.8725734908249809
Senior Software Engineer,0.8702291710154995
Senior Software Engineer,0.8684007959450477
Senior Software Engineer,0.8662488030470799
Executive - VAT,0.864944469376162
Senior Software Engineer,0.8636382436613608
Project Coordinator (Civil),0.8614962537871599
Intern (Generative AI Engineering - 2D/3D Image Generation),0.8593043738471274
Senior Software Engineer,0.8585785055435742
Project Coordinator (Civil),0.8567790540765796
Data Engineer,0.855497818920951
Mechanical Engineer,0.8543419772852109
"Manager- Human Resource Management (HRM)
",0.8537318355790651
Senior Software Engineer,0.8526214014103072
Project Coordinator (Civil),0.8520642744300373
Senior Software Engineer,0.8518462129687276
HR Officer,0.8493302219780272
Management Trainee - Mechanical,0.8484997552578153
Data Engineer,0.8480100213916758
Network Support Engineer,0.8476221073577818
Senior Software Engineer,0.8469363978760751
Senior Software Engineer,0.8464229167018833
Senior Software Engineer,0.8463874037038972
Senior Software Engineer,0.8456305328620197
Executive/ Sr. Executive -IT,0.8452540717906705
Senior Software Engineer,0.8449516775040256
Senior Software Engineer,0.8446896339696273
Senior Software Engineer,0.8436592746993179
Senior Software Engineer,0.8436570366802918
Senior Software Engineer,0.8428625598267278
AI Engineer,0.8427841373125982
AI Engineer,0.8427656750707642
Civil Engineer,0.8420469759648244
Machine Learning (ML) Engineer,0.841183910450322
Senior Software Engineer,0.8410296650687459
Data Engineer,0.841004166336264
Senior Software Engineer,0.8398030454498464
Machine Learning (ML) Engineer,0.8390198589033047
Machine Learning (ML) Engineer,0.8384154482815489
Machine Learning (ML) Engineer,0.8383881810900946
Mechanical Designer,0.8382157466225136
Intern (Generative AI Engineering - 2D/3D Image Generation),0.8381369848986128
Executive/ Sr. Executive -IT,0.838103908618329
Data Science Engineer,0.8374502331433209
Data Engineer,0.8370631456994868
Mechanical Designer,0.8358656700187813
Executive/ Sr. Executive -IT,0.8357845691437104
Senior Software Engineer,0.8353548145042036
Data Science Engineer,0.8340887673918596
Mechanical Designer,0.8324168533854305
Machine Learning (ML) Engineer,0.8312614540095855
Executive/ Sr. Executive -IT,0.8311713922674406
Executive/ Sr. Executive -IT,0.830632872317677
Senior Software Engineer,0.8305931954483314
Senior Software Engineer,0.8298678007179545
AI Engineer,0.8296698562856331
Senior Software Engineer,0.8295226124863186
Mechanical Engineer,0.8284346211143314
Data Engineer,0.8272072891271521
Senior Software Engineer,0.8265431424585873
Data Engineer,0.8262084515930663
Machine Learning (ML) Engineer,0.825600074585958
Machine Learning (ML) Engineer,0.8254954632987159
Civil Engineer,0.8253955820624529
Management Trainee - Mechanical,0.825333765712174
Intern (Generative AI Engineering - 2D/3D Image Generation),0.825285316202012
Intern (Generative AI Engineering - 2D/3D Image Generation),0.8251035660370988
Executive/ Sr. Executive -IT,0.8250669661048998
Machine Learning (ML) Engineer,0.8246070887257393
Data Engineer,0.8243810753845786
Machine Learning (ML) Engineer,0.8240250682230722
Senior Software Engineer,0.8230134098782702
Machine Learning (ML) Engineer,0.8226907217876276
Senior Software Engineer,0.8223338449516484
Site Engineer,0.8221304673653593
Senior Software Engineer,0.8219692951537168
Data Science Engineer,0.8219052668291061
Machine Learning (ML) Engineer,0.8218854845007284
Machine Learning (ML) Engineer,0.8217398745109059
Mechanical Engineer,0.8216695771342566
Executive/ Sr. Executive -IT,0.8212093706295515
HR Officer,0.8206828148254093
Marketing Officer,0.8195259646494619
Machine Learning (ML) Engineer,0.8183077077907728
Machine Learning (ML) Engineer,0.8181060271011431
Intern (Generative AI Engineering - 2D/3D Image Generation),0.8169618406758721
Executive/ Sr. Executive -IT,0.8169304311161674
Senior Software Engineer,0.8166232594294751
Data Science Engineer,0.8165983829554573
Executive/ Sr. Executive -IT,0.816059514817884
Management Trainee - Mechanical,0.8155423540523269
Mechanical Engineer,0.8145050182207416
Senior Software Engineer,0.8141520660542187
Intern (Generative AI Engineering - 2D/3D Image Generation),0.813689002084407
Machine Learning (ML) Engineer,0.8136733158113588
Intern (Generative AI Engineering - 2D/3D Image Generation),0.8134835592842523
Data Science Engineer,0.8130201635795732
Management Trainee - Mechanical,0.8124647844427662
Data Engineer,0.8124162116780156
Data Engineer,0.8120427044469731
Machine Learning (ML) Engineer,0.8115071239128491
Machine Learning (ML) Engineer,0.8109826892529627
Data Engineer,0.8108240060574973
Management Trainee - Mechanical,0.8107191191472158
Management Trainee - Mechanical,0.8107062126084332
Executive/ Sr. Executive -IT,0.8104760792846378
Marketing Officer,0.8104316956371659
Civil Engineer,0.8101757262963035
Executive/ Sr. Executive -IT,0.8077013023336301
Mechanical Engineer,0.8073811191752742
Intern (Generative AI Engineering - 2D/3D Image Generation),0.8071724199419554
Senior Software Engineer,0.8070875328732658
Intern (Generative AI Engineering - 2D/3D Image Generation),0.8068110805106754
Intern (Generative AI Engineering - 2D/3D Image Generation),0.8062811100829367
Machine Learning (ML) Engineer,0.8057306327365197
Intern (Generative AI Engineering - 2D/3D Image Generation),0.8052444674158694
"Manager- Human Resource Management (HRM)
",0.8049302577121635
Intern (Generative AI Engineering - 2D/3D Image Generation),0.8044688699388157
Mechanical Designer,0.8041011340303847
Senior Software Engineer,0.804054735097928
Executive/ Sr. Executive -IT,0.8035530827098276
Senior Software Engineer,0.8034372871041155
Senior iOS Engineer,0.8031134579948247
"Full Stack Developer (Python,React js)",0.8029495449321586
Machine Learning (ML) Engineer,0.8025504647820926
Machine Learning (ML) Engineer,0.8023323740349508
"Full Stack Developer (Python,React js)",0.8023322345919787
AI Engineer,0.8022610221505807
Machine Learning (ML) Engineer,0.8021424739739365
Executive/ Sr. Executive -IT,0.8021415257043345
Data Science Engineer,0.8021087189236591
Data Engineer,0.8019513988381738
Machine Learning (ML) Engineer,0.801266788061175
Data Engineer,0.8010995853611946
Executive/ Sr. Executive -IT,0.8010679573111776
Machine Learning (ML) Engineer,0.8009842976999522
Executive/ Sr. Executive -IT,0.8009712689453818
Senior Software Engineer,0.8005368833009506
Senior Software Engineer,0.8004875663333803
Executive/ Sr. Executive -IT,0.8004554434653107
Intern (Generative AI Engineering - 2D/3D Image Generation),0.7995492014415676
Network Support Engineer,0.7991519726356954
Senior Software Engineer,0.7991238582253939
Senior Software Engineer,0.7990723214218806
Mechanical Engineer,0.7984318172880072
Executive/ Sr. Executive -IT,0.7980568658715478
Data Engineer,0.7979228593644303
Data Science Engineer,0.7977949930268755
Executive/ Sr. Executive -IT,0.7977850873824979
Management Trainee - Mechanical,0.797447915993998
